,0,1,2,3,4,5,6,7,8,,,
0,看看你,坐在那儿,觉得自己是个好人,你才不是好人,相信我,现实中就没有好人,我以前也像你一样,认为努力工作和公平竞争,就会带来成功和幸福,,,看看你坐在那儿觉得自己是个好人你才不是好人相信我现实中就没有好人我以前也像你一样认为努力工作和公平竞争就会带来成功和幸福
1,不会的,公平竞争就是个笑话,是有钱人发明的,好让我们这些穷人永远无法翻身,而我一直很穷人,这招可骗不了我,因为这个世界上只存在两种人,剥削别人的人,和被剥削的人,,,不会的公平竞争就是个笑话是有钱人发明的好让我们这些穷人永远无法翻身而我一直很穷人这招可骗不了我因为这个世界上只存在两种人剥削别人的人和被剥削的人
2,捕食者和猎物,狮子和绵羊,我的名字叫玛拉葛蕾森,我可不是一只小绵羊,我是一头母狮,她是我母亲,我应该有权利随时去看望她,她不需要呆在疗养院,她不需要法院指派的监护人,,,捕食者和猎物狮子和绵羊我的名字叫玛拉葛蕾森我可不是一只小绵羊我是一头母狮她是我母亲我应该有权利随时去看望她她不需要呆在疗养院她不需要法院指派的监护人
3,她有一个好儿子来照顾她,我就是不理解法院怎么可以,把我母亲托付给外人,葛蕾森女士在我妈妈清楚表达了,拒绝的意愿后,仍然强制她进入疗养院,现在她又拍卖了我母亲的房子,她的汽车她的私人物品,然后她用这笔收益供自己花销,,,她有一个好儿子来照顾她我就是不理解法院怎么可以把我母亲托付给外人葛蕾森女士在我妈妈清楚表达了拒绝的意愿后仍然强制她进入疗养院现在她又拍卖了我母亲的房子她的汽车她的私人物品然后她用这笔收益供自己花销
4,现在葛蕾森小姐完全禁止我,看望我母亲,这就是一场噩梦她绑架了我母亲,先生请你保持冷静,玛拉葛蕾森是一位,受人尊敬的专业监护人,并且鉴于你的母亲不能自理,她由本法庭以及我本人亲自任命,在最大程度上维护你母亲的利益,,,现在葛蕾森小姐完全禁止我看望我母亲这就是一场噩梦她绑架了我母亲先生请你保持冷静玛拉葛蕾森是一位受人尊敬的专业监护人并且鉴于你的母亲不能自理她由本法庭以及我本人亲自任命在最大程度上维护你母亲的利益
5,禁止儿子的探访是怎么,在最大程度上维护我母亲的利益的,葛蕾森女士根本不关心我的母亲,对不起法官大人我能发言吗,请讲葛蕾森女士,费尔德斯托姆男士先生,我很同情你,但是法庭不会无缘无故委托我的,你的母亲生活不能自理,,,禁止儿子的探访是怎么在最大程度上维护我母亲的利益的葛蕾森女士根本不关心我的母亲对不起法官大人我能发言吗请讲葛蕾森女士费尔德斯托姆男士先生我很同情你但是法庭不会无缘无故委托我的你的母亲生活不能自理
6,这不是真的,医生已经诊断她患有老年痴呆,费尔德斯托姆先生并且提供了,建议立刻采取措施,来保障她安全的证词,你本来有足够的时间,送她去疗养院或者带她去你家,你哪个都没有做,她不想离开自己的家好吗,,,这不是真的医生已经诊断她患有老年痴呆费尔德斯托姆先生并且提供了建议立刻采取措施来保障她安全的证词你本来有足够的时间送她去疗养院或者带她去你家你哪个都没有做她不想离开自己的家好吗
7,她求我不要,你不能按照她的意愿来照顾她,你必须按照她的需要来照顾,这就是为什么我比她的家人,更适合照料她,因为我不会牵扯个人利益进来,我只会为你妈妈做对她正确的事,所以我承认我管理着你母亲的财产,因为必须有人打理,,,她求我不要你不能按照她的意愿来照顾她你必须按照她的需要来照顾这就是为什么我比她的家人更适合照料她因为我不会牵扯个人利益进来我只会为你妈妈做对她正确的事所以我承认我管理着你母亲的财产因为必须有人打理
8,她自己处理只会一团糟,并且我必须支付她的疗养费用,所以我承认我监管了,她的一部分金融资产的出售,我承认我也收取了我的工资,因为看护是我的工作先生,这是我的职业,这就是我一直在做的,每一天每个小时我都在看护,,,她自己处理只会一团糟并且我必须支付她的疗养费用所以我承认我监管了她的一部分金融资产的出售我承认我也收取了我的工资因为看护是我的工作先生这是我的职业这就是我一直在做的每一天每个小时我都在看护
9,我照看那些需要保护的人,保护他们不受冷落保护他们的自尊,并且经常性地,保护他们不受自己孩子的伤害,喂不,法官大人,你和我见过太多次了,子女们宁愿让自己的父母缺衣少食,忍受病痛,,,我照看那些需要保护的人保护他们不受冷落保护他们的自尊并且经常性地保护他们不受自己孩子的伤害喂不法官大人你和我见过太多次了子女们宁愿让自己的父母缺衣少食忍受病痛
10,也不愿意动用他们已经视为遗产的钱,来支付必要的看护费用,费尔德斯特伦男士先生,我同情你真的,但你对你妈妈的探望让她难过,上次你去看望的时候,你袭击了一位工作人员,并且蓄意破环了接待区域,这难道不是事实吗,,,也不愿意动用他们已经视为遗产的钱来支付必要的看护费用费尔德斯特伦男士先生我同情你真的但你对你妈妈的探望让她难过上次你去看望的时候你袭击了一位工作人员并且蓄意破环了接待区域这难道不是事实吗
11,那个,法官大人我认为,下达谢绝探访命令的理由,已经非常充分,这个法庭理应尽全力保护和帮助,费尔德斯特伦女士,而她儿子的行为,正在损害我们在这场斗争中的,全部努力,,,那个法官大人我认为下达谢绝探访命令的理由已经非常充分这个法庭理应尽全力保护和帮助费尔德斯特伦女士而她儿子的行为正在损害我们在这场斗争中的全部努力
12,我同意命令执行,什么不行,你胜诉了,是的,我就知道你可以,喂,臭娘们儿,说你呢,臭娘们儿,,,我同意命令执行什么不行你胜诉了是的我就知道你可以喂臭娘们儿说你呢臭娘们儿
13,我觉得他在跟你说话,那就喊我名字啊,婊子,喂你就不怕遭报应吗,我们的生活都被毁了,我只是在完成我的工作,你他妈的工作,去你妈的,喂,,,我觉得他在跟你说话那就喊我名字啊婊子喂你就不怕遭报应吗我们的生活都被毁了我只是在完成我的工作你他妈的工作去你妈的喂
